PPMXL,RAJ2000[deg],DEJ2000[deg],pmRA[mas/yr],pmDE[mas/yr],e_pmRA[mas/yr],e_pmDE[mas/yr],Jmag[mag],e_Jmag[mag],Kmag[mag],e_Kmag[mag],Chi_squared
412549000000000000,51.023527,49.797758,14.2,-16.4,9.6,9.6,13.106,0.023,12.627,0.026,1.8829956601657245
412549000000000000,51.06581,49.75925,7.5,-16.6,9.6,9.6,13.139,0.021,13.0,0.029,3.5530723606269285
412745000000000000,51.220256,49.923666,30.6,-15.5,5.5,5.5,12.074,0.019,11.329,0.021,5.905874950036718
412933000000000000,51.298595,49.863948,14.5,-35.2,5.6,5.6,14.99,0.045,14.487,0.082,4.459435125266549
412747000000000000,51.322767,49.98498,24.0,-36.8,4.1,4.1,14.65,0.034,13.611,0.045,6.117280363695901
412936000000000000,51.439979,49.965146,19.7,-20.0,4.2,4.2,15.463,0.062,14.596,0.092,2.8018204260613646
412937000000000000,51.449881,49.776341,25.3,-27.4,4.1,4.1,14.02,0.028,13.081,0.029,0.42093754105006276
412959000000000000,51.514003,49.966862,24.8,-24.8,4.1,4.1,14.594,0.042,14.114,0.078,0.4102391149695695
412938000000000000,51.521261,49.79755,20.8,-26.7,4.2,4.2,14.859,0.041,14.307,0.07,0.20437242532954716
412937000000000000,51.550355,49.874617,21.2,-29.5,4.1,4.1,13.841,0.027,12.941,0.029,0.6419624713513259
412939000000000000,51.559003,49.836144,21.2,-19.8,4.2,4.2,15.423,0.067,14.442,0.077,2.5738101371268303
412940000000000000,51.602343,49.860251,21.0,-25.1,5.5,5.5,14.72,0.037,13.823,0.05,0.1606117326999945
412961000000000000,51.632377,49.905996,22.1,-24.8,4.1,4.1,11.708,0.022,10.773,0.017,0.18898655858148705
412962000000000000,51.670291,49.959674,19.3,-25.8,4.0,4.0,13.035,0.026,12.081,0.025,0.7319236084302001
412964000000000000,51.674249,49.891033,26.3,-22.1,4.0,4.0,14.844,0.043,13.843,0.05,1.9205164826956915
412970000000000000,51.870322,49.999385,19.5,-23.2,4.0,4.0,13.022,0.026,12.37,0.027,1.2759894091379547
412974000000000000,51.952176,49.905109,13.6,-28.9,4.0,4.0,13.132,0.026,12.217,0.026,5.313530351232333
412974000000000000,51.95863,49.90532,25.1,-35.8,4.0,4.0,12.58,0.025,11.643,0.025,5.483670226629096
412980000000000000,51.969253,49.85471,23.5,-33.1,4.0,4.0,12.315,0.025,11.872,0.027,2.6261316461574573
412980000000000000,52.020043,49.760882,16.6,-23.5,4.0,4.0,13.529,0.027,12.675,0.032,2.7821926258341545
412986000000000000,52.089503,49.838224,21.4,-18.1,4.1,4.1,15.35,0.065,14.357,0.069,4.125552104029528
412986000000000000,52.117167,49.871382,1.1,-24.2,9.3,8.0,12.24,0.022,11.79,0.027,5.444486810807707
412990000000000000,52.16629,49.762107,32.0,-26.6,4.0,4.0,15.059,0.05,14.217,0.06,5.126925326603621
412989000000000000,52.167456,49.853133,20.0,-24.1,5.3,5.3,13.656,0.025,12.825,0.032,0.4596107111708623
412990000000000000,52.215175,49.772219,27.2,-29.0,4.0,4.0,14.712,0.044,14.006,0.056,1.5618625798607106
412993000000000000,52.352732,49.819629,14.7,-28.7,4.0,4.0,14.354,0.033,13.483,0.034,4.132812113556035
413084000000000000,52.375444,49.913345,17.3,-21.0,4.0,4.0,12.501,0.021,11.778,0.024,3.570133535455648
413087000000000000,52.432348,49.801526,23.6,-17.0,4.0,4.0,11.444,0.02,10.716,0.021,5.440479038064145
413096000000000000,52.679226,49.939867,16.0,-25.0,5.3,5.3,14.155,0.043,13.25,0.05,1.6488243995574563
413099000000000000,52.763267,49.899541,13.9,-27.5,5.4,5.4,15.234,0.043,14.347,0.062,2.638433604313758
413099000000000000,52.773045,49.897471,26.2,-29.7,4.0,4.0,13.587,0.026,12.67,0.021,1.3253848568337878
413099000000000000,52.825184,49.951812,13.3,-27.1,4.0,4.0,15.083,0.044,14.123,0.049,5.325700244142901
413145000000000000,52.874498,49.777287,26.6,-17.9,4.0,4.0,11.803,0.024,11.086,0.023,5.3159166047442135
413146000000000000,52.890671,49.867255,26.8,-34.3,4.0,4.0,14.558,0.036,13.66,0.036,4.608392438472939
413147000000000000,52.938125,49.832102,15.7,-20.1,4.1,4.1,14.991,0.049,14.243,0.051,5.150552372975552
413125000000000000,52.961025,49.987408,22.7,-28.7,4.0,4.0,13.559,0.024,12.6,0.024,0.2861714524117421
413125000000000000,52.963345,49.982701,20.1,-18.2,4.0,4.0,12.627,0.024,11.71,0.021,4.532270951444097
413170000000000000,52.971596,49.902325,26.6,-26.4,4.0,4.0,14.277,0.04,13.74,0.036,0.8941888472377763
413124000000000000,52.977299,49.937927,13.1,-23.1,4.1,4.1,14.83,0.044,14.261,0.056,5.939049137716618
413126000000000000,53.050577,49.996773,17.2,-35.5,5.4,5.4,15.364,0.057,14.487,0.073,3.7229621902007235
413174000000000000,53.177084,49.835778,20.3,-32.4,5.4,5.4,14.744,0.031,13.774,0.043,1.3567301553449131
413174000000000000,53.212856,49.845551,17.9,-25.3,4.0,4.0,10.787,0.026,10.138,0.022,1.4790595829986117
413176000000000000,53.240811,49.751954,25.6,-17.1,4.0,4.0,12.49,0.027,12.003,0.024,5.773838653673236
413181000000000000,53.29571,49.937538,17.0,-25.7,4.2,4.2,15.136,0.058,14.684,0.094,1.8197894580859373
413181000000000000,53.358698,49.903642,18.7,-18.6,4.0,4.0,14.03,0.029,13.156,0.026,4.701456325436112
413187000000000000,53.547128,49.840656,19.2,-28.0,4.0,4.0,11.931,0.023,11.06,0.022,0.8758146951963299
413187000000000000,53.560218,49.842439,14.7,-22.7,4.0,4.0,13.272,0.023,12.605,0.025,4.712671716941932
509261000000000000,53.578583,49.998268,26.9,-17.3,4.0,4.0,14.327,0.038,13.501,0.037,6.097653255234824
509264000000000000,53.589923,49.973353,20.7,-18.9,4.0,4.0,14.242,0.032,13.351,0.03,3.700661602555273
509279000000000000,53.883847,49.863274,17.3,-18.1,4.0,4.0,12.335,0.026,11.931,0.02,5.978340579641019
509286000000000000,54.000525,49.848421,18.2,-30.1,4.0,4.0,15.082,0.04,14.138,0.052,1.9930585894567256
509288000000000000,54.045675,49.977665,19.1,-24.2,4.0,4.0,14.056,0.029,13.31,0.03,1.1044177816340615
509284000000000000,54.065387,49.789404,25.1,-30.6,4.0,4.0,13.971,0.055,13.445,0.06,1.3330208680717928
509290000000000000,54.100672,49.803857,20.2,-19.5,4.0,4.0,13.393,0.032,12.61,0.033,3.3133726575777795
509292000000000000,54.255557,49.878578,22.1,-36.2,4.0,4.0,13.9,0.028,12.986,0.03,5.625175059883355
509313000000000000,54.268637,49.951526,7.3,-20.8,9.3,9.3,12.578,0.026,12.319,0.028,3.1023574888974865
509293000000000000,54.271704,49.823226,17.3,-18.6,4.1,4.1,15.21,0.046,14.26,0.065,5.23841604248769
509325000000000000,54.529426,49.945332,22.8,-23.1,4.2,4.2,15.027,0.038,14.421,0.081,0.6321362467052974
509325000000000000,54.60142,49.981036,15.2,-21.5,4.1,4.1,14.619,0.033,13.895,0.055,4.655010381970557
510081000000000000,54.798381,49.756145,6.8,-16.0,8.3,8.3,11.14,0.022,10.255,0.023,5.229160009434173
510176000000000000,54.974269,49.975007,21.9,-31.3,4.0,4.0,13.819,0.029,13.073,0.037,1.4098582311542032
510177000000000000,55.094346,49.913225,20.5,-28.1,4.0,4.0,12.783,0.022,11.854,0.025,0.4474821898145679
510217000000000000,55.676757,49.946364,13.6,-22.9,4.1,4.1,15.17,0.059,14.565,0.093,5.485162720599504
510217000000000000,55.677596,49.939921,25.0,-17.9,4.0,4.0,14.849,0.049,13.926,0.059,4.72985274222744
